stock_code,name_snapshot,latest_close,latest_total_cap,latest_float_cap,pb
300037,新宙邦,70.87,53279486992.0,38179404394.0,4.86
000600,建投能源,9.78,17635632197.0,10660697567.0,1.41
300457,赢合科技,28.87,18626330086.0,18328010833.0,2.71
300789,唐源电气,22.37,3217903405.0,1908940841.0,3.03
300861,美畅股份,19.0,12764968360.0,8015432891.0,1.93
002067,景兴纸业,4.92,7256280957.0,6581010957.0,1.09
688257,新锐股份,79.31,20018518452.0,20018518452.0,8.48
920505,九菱科技,39.49,2558378013.0,1422071468.0,7.53
600785,新华百货,17.69,3991417343.0,3991417343.0,1.73
301511,德福科技,72.03,45402093660.0,26984674604.0,10.92
300197,节能铁汉,1.66,4922394813.0,4922270313.0,-13.67
601588,北辰实业,1.83,6161646600.0,4867800000.0,0.92
600513,联环药业,21.88,6245783188.0,6245783188.0,4.88
002043,兔 宝 宝,14.87,12338449118.0,12007871858.0,3.58
002146,荣盛发展,1.34,5826539560.0,5241438610.0,1.15
920069,普昂医疗,38.75,2050417500.0,572637231.0,2.59
301329,信音电子,24.72,4207344000.0,1481815680.0,2.65
301029,怡合达,28.61,18144539590.0,13214408801.0,4.04
688480,赛恩斯,95.26,9080771812.0,9080771812.0,7.53
688101,三达膜,21.92,7277704487.0,7277704487.0,1.61
002259,升达林业,5.41,4070095924.0,4070095924.0,8.88
002407,多氟多,35.88,42712720576.0,38706172339.0,4.87
000036,华联控股,5.43,7622735677.0,7618188084.0,1.49
002444,巨星科技,34.66,41400613788.0,39745628110.0,2.16
600337,美克家居,2.89,4152924616.0,4152924616.0,1.65
300274,阳光电源,137.99,286082444398.0,219406133559.0,5.88
002125,湘潭电化,15.04,9467850448.0,9467850448.0,3.04
601168,西部矿业,30.35,72324050000.0,72324050000.0,3.62
301210,金杨精密,38.22,4380559845.0,1661190946.0,2.33
688130,晶华微,25.31,3059753589.0,1525815729.0,2.47
603458,勘设股份,11.89,3639820471.0,3639820471.0,1.41
920227,美登科技,60.54,2357518410.0,1072660857.0,5.5
600331,宏达股份,18.34,48446944000.0,37266880000.0,15.37
002157,正邦科技,3.3,30525536544.0,25698605084.0,2.92
002622,皓宸医疗,2.78,2335200000.0,2335131195.0,8.73
603381,永臻股份,23.85,5658563375.0,3389983811.0,1.69
301176,逸豪新材,37.8,6390720013.0,6201226382.0,4.3
300814,中富电路,102.9,19698160583.0,19698160583.0,12.03
688222,成都先导,27.93,11190992400.0,11190992400.0,7.28
605133,嵘泰股份,32.15,9091028237.0,9070097301.0,2.38
603337,杰克科技,39.71,18918308250.0,18811639248.0,3.52
688409,富创精密,121.43,37183173923.0,37183173923.0,8.28
300341,麦克奥迪,15.42,7978467381.0,7946982825.0,4.04
300299,富春股份,6.14,4238442522.0,4231829742.0,11.27
002960,青鸟智控,11.98,10540110251.0,9686398523.0,1.68
300933,中辰股份,8.13,4447845391.0,4447845391.0,2.09
002090,金智科技,11.14,4462428571.0,4400700917.0,2.85
688615,合合信息,129.83,25446680000.0,17570976942.0,6.22
002225,濮耐股份,4.6,5332500076.0,4363661623.0,1.29
603538,美诺华,63.71,15076149450.0,14805109271.0,6.08
301219,腾远钴业,87.0,25640394834.0,18306214446.0,2.6
300432,富临精工,27.7,47360358703.0,46832319116.0,9.66
300469,信息发展,55.63,13809525779.0,13802570638.0,59.0
002310,东方新能,3.2,19197830774.0,13756830246.0,12.5
601133,柏诚股份,23.36,12334510385.0,12249674340.0,4.07
601991,大唐发电,4.28,79208720957.0,53055261374.0,2.15
600383,金地集团,2.86,12911709016.0,12911709016.0,0.28
688203,海正生材,13.78,2792903777.0,2792903777.0,1.89
301141,中科磁业,52.89,6560084478.0,2354271678.0,5.11
002291,遥望科技,6.65,6218616847.0,5779683046.0,2.09
603092,德力佳,76.6,30640007660.0,2562458436.0,5.34
605499,东鹏饮料,208.15,117556604905.0,108240705950.0,11.49
600158,中体产业,10.8,10362741124.0,10362741124.0,3.99
002759,天际股份,36.0,18049773780.0,18033904548.0,5.18
300366,ST创意,5.42,3293062733.0,2875323496.0,2.86
603659,璞泰来,37.58,80285877276.0,80285877276.0,3.82
002460,赣锋锂业,86.91,182223710652.0,105266959683.0,4.04
002150,正泰电源,28.68,10349717270.0,10283069969.0,4.78
000762,西藏矿业,38.87,20244243859.0,20243520022.0,6.88
601882,海天精工,20.0,10440000000.0,10440000000.0,3.54
300584,海辰药业,43.28,5193600000.0,3553718463.0,4.85
603045,福达合金,42.42,5745583475.0,5745583475.0,5.36
920436,大地电气,14.39,1359509640.0,1278812693.0,3.51
688726,拉普拉斯,60.03,24331731126.0,13202066174.0,5.78
300736,百邦科技,27.75,3550177491.0,3460632764.0,53.95
688633,星球石墨,36.6,5261976473.0,5261976473.0,2.97
603719,良品铺子,11.18,4483180000.0,4483180000.0,2.19
002563,森马服饰,6.05,16299245468.0,13352911380.0,1.39
688099,晶晨股份,101.57,42777791312.0,42777791312.0,5.68
300210,森远股份,9.75,4721144542.0,4721144542.0,12.59
600037,歌华有线,7.92,11022880841.0,11022880841.0,0.86
300749,顶固集创,24.2,4965099480.0,3808973520.0,9.02
603477,巨星农牧,18.51,9441403308.0,9441403308.0,3.73
688808,C联讯,914.17,93854786971.0,17639955960.0,68.6
002266,浙富控股,5.03,26252935152.0,24358203702.0,2.08
920055,隆源股份,34.57,2350760000.0,528921000.0,1.92
603162,海通发展,15.19,14098572799.0,4245172024.0,3.04
000151,中成股份,11.83,4151221363.0,3642867442.0,4.74
603355,莱克电气,31.36,17981722331.0,17981722331.0,3.18
000503,国新健康,7.75,7589206658.0,7588747300.0,7.91
603507,振江股份,49.62,9145030853.0,9019541873.0,3.64
300747,锐科激光,35.94,20183904000.0,18759886445.0,5.86
300236,上海新阳,95.95,30069017580.0,26726882287.0,6.25
000651,格力电器,40.57,227249030912.0,224027924360.0,1.49
002193,如意集团,6.87,1797985829.0,1797975524.0,6.68
300821,东岳硅材,15.67,18804000000.0,18800721053.0,3.67
300966,共同药业,25.04,2886639070.0,1919733392.0,3.94
605003,众望布艺,28.49,3133900000.0,3133900000.0,2.13
300568,星源材质,16.65,22406082139.0,20122556368.0,2.3
002865,钧达股份,76.88,23930134078.0,17184860163.0,5.94
301387,光大同创,66.61,7110431258.0,2843202822.0,4.36
605117,德业股份,147.66,134272043152.0,134272043152.0,13.01
603100,川仪股份,19.62,10068457713.0,10036398437.0,2.1
603186,华正新材,80.6,12637315751.0,12637315751.0,5.4
000510,新金路,13.92,9027726759.0,8444016657.0,8.35
001400,江顺科技,205.0,12300000000.0,3075000000.0,9.59
688116,天奈科技,43.39,15903824825.0,15903824825.0,4.17
301321,翰博高新,26.77,4990864950.0,3951795137.0,5.12
002318,久立特材,30.46,29764620131.0,29079822341.0,3.26
600712,南宁百货,6.21,3382309786.0,3345006384.0,4.46
300440,运达科技,17.71,7783838986.0,7753819916.0,4.65
300929,华骐环保,14.05,1856468032.0,1761312932.0,2.42
